throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0306,8,8,false,false,false,false,true,true,8,8,1,0,2
0.0265,8,8,false,false,false,false,true,true,8,8,1,0,5
0.0187,8,8,false,false,false,false,true,true,8,8,1,0,10
0.0229,8,8,false,false,false,false,true,true,8,8,1,1,2
0.0131,8,8,false,false,false,false,true,true,8,8,1,1,5
0.0072,8,8,false,false,false,false,true,true,8,8,1,1,10
0.0306,8,8,false,false,false,false,true,true,8,8,2,0,2
0.0268,8,8,false,false,false,false,true,true,8,8,2,0,5
0.0195,8,8,false,false,false,false,true,true,8,8,2,0,10
0.0229,8,8,false,false,false,false,true,true,8,8,2,1,2
0.0131,8,8,false,false,false,false,true,true,8,8,2,1,5
0.0072,8,8,false,false,false,false,true,true,8,8,2,1,10
0.0306,8,8,false,false,false,false,true,true,8,8,8,0,2
0.0266,8,8,false,false,false,false,true,true,8,8,8,0,5
0.0267,8,8,false,false,false,false,true,true,8,8,8,0,10
0.0229,8,8,false,false,false,false,true,true,8,8,8,1,2
0.0131,8,8,false,false,false,false,true,true,8,8,8,1,5
0.0072,8,8,false,false,false,false,true,true,8,8,8,1,10
#Changing idelay to 100
throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0169,8,8,false,false,false,false,true,true,8,8,1,0,10
0.0223,8,8,false,false,false,false,true,true,8,8,8,0,10
0.0265,8,8,false,false,false,false,true,true,8,8,16,0,10
0.0274,8,8,false,false,false,false,true,true,8,8,32,0,10
#all memory accesses as cache hit
throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0216,8,8,false,false,false,false,true,true,8,8,1,0,10
0.0223,8,8,false,false,false,false,true,true,8,8,8,0,10
0.0265,8,8,false,false,false,false,true,true,8,8,16,0,10
0.0274,8,8,false,false,false,false,true,true,8,8,32,0,10
throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0150,8,8,false,false,false,false,true,true,8,8,1,0,20
0.0116,8,8,false,false,false,false,true,true,8,8,1,0,30
0.0292,8,8,false,false,false,false,true,true,8,8,8,0,20
0.0292,8,8,false,false,false,false,true,true,8,8,8,0,30
0.0321,8,8,false,false,false,false,true,true,8,8,16,0,20
0.0321,8,8,false,false,false,false,true,true,8,8,16,0,30
0.0321,8,8,false,false,false,false,true,true,8,8,32,0,20
0.0321,8,8,false,false,false,false,true,true,8,8,32,0,30
throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0298,8,8,false,false,false,false,true,true,8,8,1,0,5
0.0216,8,8,false,false,false,false,true,true,8,8,1,0,10
0.0180,8,8,false,false,false,false,true,true,8,8,1,0,15
0.0300,8,8,false,false,false,false,true,true,8,8,8,0,5
