throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0014,1,1,false,false,false,false,true,false,1,1,1,0,10
0.0023,1,1,false,false,false,false,true,false,1,2,1,0,10
0.0031,1,1,false,false,false,false,true,false,1,4,1,0,10
0.0031,1,1,false,false,false,false,true,false,1,8,1,0,10
0.0015,1,1,false,false,false,false,true,false,2,1,1,0,10
0.0030,1,1,false,false,false,false,true,false,2,2,1,0,10
0.0051,1,1,false,false,false,false,true,false,2,4,1,0,10
0.0062,1,1,false,false,false,false,true,false,2,8,1,0,10
0.0015,1,1,false,false,false,false,true,false,4,1,1,0,10
0.0034,1,1,false,false,false,false,true,false,4,2,1,0,10
0.0061,1,1,false,false,false,false,true,false,4,4,1,0,10
0.0105,1,1,false,false,false,false,true,false,4,8,1,0,10
0.0015,1,1,false,false,false,false,true,false,8,1,1,0,10
0.0039,1,1,false,false,false,false,true,false,8,2,1,0,10
0.0062,1,1,false,false,false,false,true,false,8,4,1,0,10
0.0120,1,1,false,false,false,false,true,false,8,8,1,0,10
0.0014,1,1,false,false,false,false,true,true,1,1,1,0,10
0.0022,1,1,false,false,false,false,true,true,1,2,1,0,10
0.0030,1,1,false,false,false,false,true,true,1,4,1,0,10
0.0031,1,1,false,false,false,false,true,true,1,8,1,0,10
0.0015,1,1,false,false,false,false,true,true,2,1,1,0,10
0.0030,1,1,false,false,false,false,true,true,2,2,1,0,10
0.0050,1,1,false,false,false,false,true,true,2,4,1,0,10
0.0061,1,1,false,false,false,false,true,true,2,8,1,0,10
0.0016,1,1,false,false,false,false,true,true,4,1,1,0,10
0.0027,1,1,false,false,false,false,true,true,4,2,1,0,10
0.0061,1,1,false,false,false,false,true,true,4,4,1,0,10
0.0102,1,1,false,false,false,false,true,true,4,8,1,0,10
0.0015,1,1,false,false,false,false,true,true,8,1,1,0,10
0.0027,1,1,false,false,false,false,true,true,8,2,1,0,10
0.0062,1,1,false,false,false,false,true,true,8,4,1,0,10
0.0120,1,1,false,false,false,false,true,true,8,8,1,0,10
0.0015,1,2,false,false,false,false,true,false,1,1,1,0,10
0.0030,1,2,false,false,false,false,true,false,1,2,1,0,10
0.0052,1,2,false,false,false,false,true,false,1,4,1,0,10
0.0063,1,2,false,false,false,false,true,false,1,8,1,0,10
0.0015,1,2,false,false,false,false,true,false,2,1,1,0,10
0.0038,1,2,false,false,false,false,true,false,2,2,1,0,10
0.0062,1,2,false,false,false,false,true,false,2,4,1,0,10
0.0107,1,2,false,false,false,false,true,false,2,8,1,0,10
